order_id,user_id,order_timestamp,order_hour,order_hour_formatted,turno_pedido,is_cancelled,is_returned,total_order_value,is_bad_payer,account_created_at,dias_conta_ate_compra,faixa_tempo_conta
833,653,2026-02-16 00:43:22.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,91.0,1,2026-01-10 12:24:00.000000,36,2. 30-90 dias
2141,1705,2022-12-27 00:01:18.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,0,2021-01-16 02:59:00.000000,709,4. +365 dias
3831,3067,2026-03-29 00:44:42.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,1,2024-04-03 02:41:00.000000,724,4. +365 dias
5774,4568,2023-06-27 00:33:24.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,0,2021-08-13 13:12:00.000000,682,4. +365 dias
6258,4992,2024-05-12 00:21:46.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,0,2021-11-26 11:26:00.000000,897,4. +365 dias
6434,5133,2024-02-23 00:16:30.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,1,2023-12-19 06:27:00.000000,65,2. 30-90 dias
9496,7554,2026-07-02 00:17:13.962256,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,1,2026-06-30 12:51:09.962256,1,1. < 30 dias
11350,9053,2023-02-17 00:35:10.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,0,2020-02-02 07:07:00.000000,1110,4. +365 dias
11585,9244,2026-03-18 00:21:06.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,1,2019-03-05 16:56:00.000000,2569,4. +365 dias
14303,11402,2025-01-03 00:24:11.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,0,2024-06-02 08:50:00.000000,214,3. 90-365 dias
15754,12576,2026-04-22 00:02:58.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,0,2021-11-07 16:14:00.000000,1626,4. +365 dias
16214,12954,2025-04-29 00:35:40.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,0,2022-12-04 06:59:00.000000,876,4. +365 dias
16728,13345,2026-04-15 00:58:24.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,0,2024-04-27 11:43:00.000000,717,4. +365 dias
20911,16666,2026-06-30 00:45:28.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,0,2025-01-01 05:06:00.000000,544,4. +365 dias
20930,16684,2021-01-04 00:10:50.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,136.5,0,2019-08-20 17:32:00.000000,502,4. +365 dias
22393,17894,2025-03-14 00:29:20.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,0,2022-08-17 17:03:00.000000,939,4. +365 dias
23657,18911,2023-10-22 00:15:19.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,1,2022-02-15 06:39:00.000000,613,4. +365 dias
25388,20250,2024-09-09 00:57:00.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,0,2023-03-16 07:15:00.000000,542,4. +365 dias
25726,20524,2026-04-27 00:46:17.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,0,2024-10-08 10:04:00.000000,565,4. +365 dias
25809,20589,2025-06-30 00:05:55.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,1,2025-05-18 16:29:00.000000,42,2. 30-90 dias
27593,22037,2024-03-23 00:27:20.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,91.0,1,2019-03-11 13:11:00.000000,1838,4. +365 dias
28273,22576,2023-03-07 00:50:03.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,1,2022-06-19 04:36:00.000000,260,3. 90-365 dias
29710,23717,2026-01-12 00:37:35.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,0,2024-05-13 00:06:00.000000,609,4. +365 dias
29983,23926,2021-01-24 00:08:07.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,91.0,1,2020-09-05 16:48:00.000000,140,3. 90-365 dias
33606,26786,2025-08-07 00:45:34.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,1,2023-11-21 09:57:00.000000,624,4. +365 dias
36031,28746,2026-07-03 00:46:37.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,1,2025-07-15 17:43:00.000000,352,3. 90-365 dias
37044,29568,2026-01-17 00:07:03.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,91.0,1,2021-08-21 00:25:00.000000,1609,4. +365 dias
38094,30371,2026-06-09 00:16:44.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,1,2025-09-20 16:43:00.000000,261,3. 90-365 dias
42665,33988,2021-03-08 00:54:23.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,1,2020-10-14 09:34:00.000000,144,3. 90-365 dias
42938,34211,2025-01-11 00:14:35.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,1,2024-03-16 02:27:00.000000,300,3. 90-365 dias
43689,34827,2021-12-25 00:30:50.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,91.0,0,2020-04-30 03:43:00.000000,603,4. +365 dias
44783,35705,2025-06-15 00:44:54.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,91.0,0,2024-12-16 05:49:00.000000,180,3. 90-365 dias
44946,35841,2019-10-19 00:13:35.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,1,2019-02-03 05:37:00.000000,257,3. 90-365 dias
45403,36189,2025-05-25 00:57:27.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,0,2020-11-09 06:37:00.000000,1657,4. +365 dias
45750,36450,2024-11-03 00:53:05.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,0,2023-08-31 12:12:00.000000,429,4. +365 dias
45860,36534,2025-02-21 00:54:36.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,1,2024-05-14 13:13:00.000000,282,3. 90-365 dias
48548,38697,2020-01-11 00:49:54.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,1,2019-05-01 05:02:00.000000,254,3. 90-365 dias
48792,38870,2026-07-05 00:25:13.038413,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,1,2026-07-03 08:42:50.038413,1,1. < 30 dias
49282,39266,2025-05-19 00:56:11.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,0,2022-04-07 02:55:00.000000,1137,4. +365 dias
49334,39298,2021-08-18 00:46:47.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,91.0,1,2021-08-07 12:53:00.000000,10,1. < 30 dias
50250,40052,2025-10-28 00:58:24.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,182.0,1,2023-04-07 13:03:00.000000,934,4. +365 dias
53560,42617,2024-02-19 00:01:22.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,0,2023-08-18 00:54:00.000000,184,3. 90-365 dias
54158,43100,2025-05-20 00:39:29.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,91.0,0,2023-10-14 17:42:00.000000,583,4. +365 dias
56865,45241,2026-03-03 00:54:57.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,0,2025-02-15 09:29:00.000000,380,4. +365 dias
60148,47846,2026-03-08 00:12:12.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,0,2026-01-12 05:56:00.000000,54,2. 30-90 dias
60243,47915,2025-11-24 00:20:17.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,1,2022-08-03 14:04:00.000000,1208,4. +365 dias
60310,47971,2026-04-26 00:18:13.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,91.0,1,2026-04-03 05:11:00.000000,22,1. < 30 dias
61186,48681,2022-02-13 00:02:11.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,45.5,0,2020-11-22 00:00:00.000000,448,4. +365 dias
63359,50449,2023-08-18 00:04:00.000000,0,00hs,Noite/Madrugada (18h-5h),1,0,91.0,1,2021-10-19 02:21:00.000000,667,4. +365 dias
